Config_ID,Hidden_Size,Num_Layers,Dropout,Batch_Size,Parameters,Best_Test_Loss,Final_Train_Loss,Overfitting_Gap,Training_Time_Min,Rank
28,512,8,0.1,192,191498,0.1486085538159717,0.16725657880306244,0.018648024987090728,0.33179768721262615,40
16,512,6,0.1,64,182922,0.14870848436839879,0.18445271980762482,0.03574423543922603,0.819151782989502,41
9,384,7,0.1,256,112042,0.14886871445924044,0.1692446293309331,0.020375914871692657,0.2652785062789917,42
50,768,6,0.1,320,402986,0.14931665786675044,0.1388305151462555,-0.010486142720494945,0.2132030447324117,43
31,640,6,0.1,64,282202,0.14973020204342902,0.18088155168294906,0.031151349639520043,0.6651549021402995,44
72,896,8,0.1,128,553850,0.14977792045101523,0.1648709001758742,0.015092979724858957,0.4637942989667257,45
23,512,7,0.1,192,187210,0.150123500011184,0.15965407909381957,0.009530579082635576,0.3118763287862142,46
2,384,6,0.1,128,107754,0.1501327413134277,0.17813454343686028,0.02800180212343259,0.3716562271118164,47
34,640,6,0.1,256,282202,0.15016463119536638,0.12821542262099683,-0.02194920857436955,0.2540372649828593,48
21,512,7,0.1,64,187210,0.15046441624872386,0.18545131063461304,0.03498689438588917,0.8154114206631978,49
56,768,8,0.1,64,411562,0.15080737904645503,0.1841085726618767,0.033301193615421665,1.0293559948603312,50
61,896,6,0.1,64,545274,0.15129230404272676,0.16743736100196838,0.01614505695924162,0.9278687318166097,51
67,896,7,0.1,128,549562,0.15166623331606388,0.16246636401093195,0.010800130694868071,0.4936583677927653,52
5,384,6,0.1,320,107754,0.15215293318033218,0.17195951759815217,0.01980658441781999,0.21014860073725383,53
60,768,8,0.1,320,411562,0.1528472283056804,0.1666824847459793,0.013835256440298899,0.2975064198176066,54
37,640,7,0.1,128,286490,0.15305227367207408,0.17258403663124358,0.019531762959169502,0.49188565810521445,55
35,640,6,0.1,320,282202,0.15307828251804625,0.14860301613807678,-0.004475266379969478,0.2391858220100403,56
57,768,8,0.1,128,411562,0.15323827578686178,0.17679170164323987,0.023553425856378096,0.5431534210840862,57
29,512,8,0.1,256,191498,0.15396163426339626,0.17857779888436198,0.02461616462096572,0.27988747755686444,58
14,384,8,0.1,256,116330,0.15465669706463814,0.18034657696262002,0.025689879897981882,0.2824506719907125,59
7,384,7,0.1,128,112042,0.15471919532865286,0.17710913776878326,0.0223899424401304,0.419736651579539,60
1,384,6,0.1,64,107754,0.15590163075830787,0.20404448652267457,0.04814285576436669,0.7397680640220642,61
36,640,7,0.1,64,286490,0.15642121946439147,0.1909799343943596,0.03455871492996812,0.8250201503435771,62
48,768,6,0.1,192,402986,0.15648248656229538,0.14902869505541666,-0.007453791506878721,0.28600405851999916,63
46,768,6,0.1,64,402986,0.1569443002808839,0.1727833679318428,0.015839067650958882,0.8607529322306315,64
41,640,8,0.1,64,290778,0.15781158523168415,0.18460340732336045,0.0267918220916763,0.8272783358891805,65
6,384,7,0.1,64,112042,0.15953052835538983,0.22237695980072023,0.06284643144533039,0.7391972661018371,66
12,384,8,0.1,128,116330,0.16297555388882756,0.21197422771226793,0.048998673823440364,0.5785384337107341,67
8,384,7,0.1,192,112042,0.16376917199655014,0.19718901209888004,0.0334198401023299,0.3086967388788859,68
26,512,8,0.1,64,191498,0.1674060975201428,0.22207173109054565,0.054665633570402855,0.8044442772865296,69
74,896,8,0.1,256,553850,0.1674519032239914,0.17118311510421336,0.003731211880221963,0.36328667402267456,70
24,512,7,0.1,256,187210,0.17020932864397764,0.18132745660841465,0.011118127964437008,0.2603271007537842,71
66,896,7,0.1,64,549562,0.17269438924267888,0.20353976982831956,0.03084538058564068,0.7483696420987447,72
27,512,8,0.1,128,191498,0.17315391823649406,0.2192100144567944,0.046056096220300324,0.4614124377568563,73
11,384,8,0.1,64,116330,0.1731878889258951,0.2663069217801094,0.0931190328542143,0.8885276834170024,74
51,768,7,0.1,64,407274,0.17888656654395163,0.22148955261707307,0.042602986073121435,0.7979401469230651,75
